"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"J. B., 10027",1,0,0,0,0,0,0,0,0,0
"L. R., 17403",1,0,0,0,0,0,0,0,0,0
"J. A., 83350",1,0,0,0,0,0,0,0,0,0
"S. W., 15221",1,0,0,0,0,0,0,0,0,0
"J. M., V6P 3S6",1,0,0,0,0,0,0,0,0,0
"K. F., 22066",1,0,0,0,0,0,0,0,0,0
"J. H., 57066",1,0,0,0,0,0,0,0,0,0
"S. B., 45042",1,0,0,0,0,0,0,0,0,0
"J. D., 20902",1,0,0,0,0,0,0,0,0,0
"D. K., 31558",1,0,0,0,0,0,0,0,0,0
"A. G., 66606",1,0,0,0,0,0,0,0,0,0
"I. B., 94565",1,0,0,0,0,0,0,0,0,0
"A. W., 11730",1,0,0,0,0,0,0,0,0,0
"D. P., 67042",1,0,0,0,0,0,0,0,0,0
"E. R., 92660",1,0,0,0,0,0,0,0,0,0
"Z. R., 11710",1,0,1,0,1,0,0,0,0,1
"M. B., 75056",1,0,0,0,1,0,0,0,0,0
"J. M., 91731",1,0,0,0,0,0,0,0,0,0
"M. S., 95521",1,0,0,0,0,0,0,0,0,0
"R. M., 76308",1,0,0,0,0,0,0,0,0,0
"E. T., 91803",1,0,0,0,0,0,0,0,0,0
"D. J., 78747",1,0,0,0,0,0,0,0,0,0
"K. B., 30906",1,0,0,0,0,0,0,0,0,0
"T. G., 15601",1,0,0,0,0,0,0,0,0,0
"C. K., 34442",1,0,0,0,0,0,0,0,0,0
"J. S., 41071",1,0,0,0,0,0,0,0,0,0
"K. T., 06112",1,0,0,0,0,0,0,0,0,0
"Y. H., 93030",1,0,0,0,0,0,0,0,0,0
"M. G., 01841",1,0,0,0,0,0,0,0,0,0
"S. C., 98105",1,0,0,0,0,0,0,0,0,0
