"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"C. P., 10472",0,0,0,0,1,0,0,0,0,0
"M. B., 90046",0,0,0,0,1,0,0,0,0,0
"D. D., 97405",0,0,0,0,1,0,0,0,0,0
"B. B., 01860",0,0,0,0,1,0,0,0,0,0
"J. S., 11590",0,0,0,0,1,0,0,0,0,0
"T. S., 95608",0,0,0,0,1,0,0,0,0,0
"K. G., 80224",0,0,0,0,1,0,0,0,0,0
"J. I., 07650",0,0,0,0,1,0,0,0,0,0
"D. M., 29170",0,0,0,0,1,0,0,0,0,0
"K. S., 07477",0,0,0,0,1,0,0,0,0,0
"A. R., 99353",0,0,0,0,1,0,0,0,0,0
"A. D., 94132",0,0,0,0,1,0,0,0,0,0
"P. Y., 30047",0,0,0,0,1,0,0,0,0,0
"S. J., 95842",0,0,0,0,1,0,0,0,0,0
"J. C., 90032",0,0,0,0,1,0,0,0,0,0
"D. B., 90066",0,0,0,0,1,0,0,0,0,0
"E. V., 98038",0,0,0,0,1,0,0,0,0,0
"N. R., 77096",0,0,0,0,1,0,0,0,0,0
"R. M., 45371",0,0,0,0,1,0,0,0,0,0
"J. L., 89429",0,0,0,0,1,0,0,0,0,0
"J. C., 04084",0,0,0,0,1,0,0,0,0,0
"A. K., 22801",0,0,0,0,1,0,0,0,0,0
"S. E., 72702",0,0,0,0,1,0,0,0,1,0
"D. S., 75006",0,0,0,0,1,0,0,0,0,0
"G. G., 87517",0,0,0,0,1,0,0,0,0,0
"N. P., 20878",0,0,0,0,1,0,0,0,0,0
"I. K., 12758",0,0,0,0,1,0,0,0,0,0
"B. F., 70737",0,0,0,0,1,0,0,0,0,0
"G. P., 43311",0,0,0,0,1,0,0,0,0,0
"J. E., 95128",0,0,0,0,1,0,0,0,0,0
"E. B., 97013",0,0,0,0,1,0,0,0,0,0
"Y. J., 76040",0,0,0,0,1,0,0,0,0,0
"Z. D., 70605",0,0,0,0,1,0,0,0,0,0
"A. P., 94103",0,0,0,0,1,0,0,0,0,0
"R. M., 92325",0,0,0,0,1,0,0,0,0,0
"K. S., 19525",0,0,0,0,1,0,0,0,0,0
"J. A., 06511",0,0,0,0,1,0,0,0,0,0
"J. W., 47906",0,0,0,0,1,0,0,0,0,0
"G. G., 27658",0,0,0,0,1,0,0,0,0,0
"M. M., 71653",0,0,0,0,1,0,0,0,0,0
"G. A., 63362",0,0,0,0,1,0,0,0,0,0
"B. C., 91101",0,0,0,0,1,0,0,0,0,0
"R. H., 11418",0,0,0,0,1,0,0,0,0,0
"A. R., 11224",0,0,0,0,1,0,0,0,0,0
"A. H., 01801",0,0,0,0,1,0,0,0,0,0
"J. J., 36022",0,0,0,0,1,0,0,0,0,0
"M. L., 99354",0,0,0,0,1,0,0,0,0,0
"J. R., 98133",0,0,0,0,1,0,0,0,0,0
"R. D., 27713",0,0,0,0,1,0,0,0,0,0
"A. D., 29625",0,0,0,0,1,0,0,0,0,0
"H. E., 23452",0,0,0,0,1,0,0,0,0,0
"A. A., 30741",0,0,0,0,1,0,0,0,0,1
"C. R., 75056",0,0,0,0,1,1,0,0,0,1
"K. M., 27516",0,0,0,0,1,0,0,0,0,0
"H. C., 33156",0,0,0,0,1,0,0,0,0,0
"K. T., 93003",0,0,0,0,1,0,0,0,0,0
"D. J., 11946",0,0,0,0,1,0,0,0,0,0
"H. T., 10025",0,0,0,0,1,0,0,0,0,0
"S. T., 91320",0,0,0,0,1,0,0,0,0,0
"B. D., 07920",0,0,0,0,1,0,0,0,0,0
"D. S., 85382",0,0,0,0,1,0,0,0,0,0
"D. M., 98038",0,0,0,0,1,0,0,0,0,0
"C. A., 80138",0,0,0,0,1,0,0,0,0,0
"A. T., 75041",0,0,0,0,1,0,0,0,0,0
"R. S., 49078",0,0,0,0,1,0,0,0,0,0
"O. U., 10301",0,0,0,0,1,0,0,0,0,0
"B. B., 99354",0,0,0,0,1,0,0,0,0,0
"M. N., 73072",0,0,0,0,1,0,0,0,0,0
"T. F., 05661",0,0,0,0,1,0,0,0,0,0
"S. C., 92691",0,0,0,0,1,0,0,0,0,0
"K. Z., 44302",0,0,0,0,1,0,0,0,0,0
"J. L., 28610",0,0,0,0,1,0,0,0,0,0
"R. S., 95602",0,0,0,0,1,0,0,0,0,0
"B. A., 98105",0,0,0,0,1,0,0,0,0,0
"K. M., 22204",0,0,0,0,1,0,0,0,0,0
"I. C., 49441",0,0,0,0,1,0,0,0,0,0
"S. S., 12542",0,0,0,0,1,0,0,0,0,0
"Y. S., 75089",0,0,0,0,1,0,0,0,0,0
"M. C., 95603",0,0,0,0,1,0,0,0,0,0
"M. S., 64111",0,0,0,0,1,0,0,0,0,0
"R. F., 97477",0,0,0,0,1,0,0,0,0,0
"D. R., 02660",0,0,0,0,1,0,0,0,0,0
"E. D., 33860",0,0,0,0,1,0,0,0,0,0
"R. G., 68127",0,0,0,0,1,0,0,0,0,0
"E. C., 11779",0,0,0,0,1,0,0,0,0,0
"L. H., 32792",0,0,0,0,1,0,0,0,0,0
"L. B., 92116",0,0,0,0,1,0,0,0,0,0
"C. O., 10570",0,0,0,0,1,0,0,0,0,0
"S. G., 95521",0,0,0,0,1,1,0,0,0,1
"M. L., 06112",0,0,0,0,1,0,0,0,0,0
"D. W., 90045",0,0,0,0,1,0,0,0,0,0
"J. B., 80525",0,0,0,0,1,0,0,0,0,0
"M. G., 98116",0,0,0,0,1,0,0,0,0,0
"S. H., 48819",0,0,0,0,1,0,0,0,0,0
"A. E., 62526",0,0,0,0,1,0,0,0,0,0
"J. L., 60626",0,0,0,0,1,0,0,0,0,0
"T. H., 20901",0,0,0,0,1,0,0,0,0,0
"J. T., 37604",0,0,0,0,1,0,0,0,0,0
"E. W., 49802",0,0,0,0,1,0,0,0,0,0
"N. G., 01851",0,0,0,0,1,0,0,0,0,0
"J. V., 34202",0,0,0,0,1,0,0,0,0,0
"R. G., 76039",0,0,0,0,1,0,0,0,0,0
"V. B., 95354",0,0,0,0,1,0,0,1,0,1
"A. H., 10023",0,0,0,0,1,0,0,0,0,0
"J. H., 47357",0,0,0,0,1,0,0,0,0,0
"R. J., 98144",0,0,0,0,1,0,0,0,0,0
"D. D., 07105",0,0,0,0,1,0,0,0,0,0
"B. K., 85306",0,0,0,0,1,0,0,0,0,0
"R. H., 32835",0,0,0,0,1,0,0,0,0,0
"M. Q., 37840",0,0,0,0,1,0,0,0,0,0
"F. H., 90033",0,0,0,0,1,0,0,0,0,1
"M. I., 30534",0,0,0,0,1,0,0,0,0,0
"H. K., 77429",0,0,0,0,1,0,0,0,0,0
"C. A., 90277",0,0,0,0,1,0,0,0,0,0
"D. D., 80223",0,0,0,0,1,0,0,0,0,0
"H. S., 77429",0,0,0,0,1,0,0,0,0,0
"P. P., 60406",0,0,0,0,1,0,0,0,0,0
"L. W., 85623",0,0,0,0,1,0,0,0,0,0
"J. B., 53190",0,0,0,0,1,0,0,0,0,0
"C. P., 19702",0,0,0,0,1,0,0,0,0,0
"R. S., 33704",0,0,0,0,1,0,0,0,0,0
"B. B., 35242",0,0,0,0,1,0,0,0,0,0
"C. A., 02575",0,0,0,0,1,0,0,0,0,0
"G. G., 78542",0,0,0,0,1,0,0,0,0,0
"L. C., 60452",0,0,0,0,1,0,0,0,0,0
"J. J., 30318",0,0,0,0,1,0,0,0,0,0
"C. T., 93454",0,0,0,0,1,0,0,0,0,0
"D. B., 85027",0,0,0,0,1,1,0,0,0,1
"Z. D., 11096",0,0,0,0,1,0,0,0,0,0
"M. K., 78704",0,0,0,0,1,0,0,0,0,0
"K. K., 43202",0,0,0,0,1,0,0,0,0,0
"A. S., 18073",0,0,0,0,1,0,0,0,0,0
"A. P., 18015",0,0,0,0,1,0,0,0,0,0
"E. G., 80863",0,0,0,0,1,0,0,0,0,0
"P. C., 91607",0,0,0,0,1,0,0,0,0,0
"S. A., 53711",0,0,0,0,1,0,0,0,0,0
"H. D., 75070",0,0,0,0,1,0,0,0,0,0
"K. G., 94086",0,0,0,0,1,0,0,0,0,0
"R. C., 94608",0,0,0,0,1,0,0,0,0,0
"M. C., 95465",0,0,0,0,1,0,0,0,0,0
"J. H., 33903",0,0,0,0,1,0,0,0,0,0
"T. B., 85705",0,0,0,0,1,0,0,0,0,0
"S. D., 84047",0,0,0,0,1,0,0,0,0,0
"K. H., 75227",0,0,0,0,1,0,0,0,0,0
"H. T., 22304",0,0,0,0,1,0,0,0,0,0
"J. M., 33710",0,0,0,0,1,0,0,0,0,0
"J. N., 01890",0,0,0,0,1,0,0,0,0,0
"R. W., 98926",0,0,0,0,1,0,0,0,0,0
"J. R., 45044",0,0,0,0,1,0,0,0,0,0
"R. S., 97035",0,0,0,0,1,0,0,0,0,0
"R. M., 48601",0,0,0,0,1,0,0,0,0,0
"D. P., 91762",0,0,0,0,1,0,0,0,0,0
"D. W., 61704",0,0,0,0,1,0,0,0,0,0
"P. P., 01938",0,0,0,0,1,0,0,0,0,0
"M. D., 12538",0,0,0,0,1,0,0,0,0,0
"C. L., 92886",0,0,0,0,1,0,0,0,0,0
"D. A., 20657",0,0,0,0,1,0,0,0,0,0
"J. N., 22405",0,0,0,0,1,0,0,0,0,0
"D. I., 92614",0,0,0,0,1,0,0,0,0,0
"C. S., 92122",0,0,0,0,1,0,0,0,0,0
"N. E., 17872",0,0,0,0,1,0,0,0,0,1
"G. T., 02720",0,0,0,0,1,0,0,0,0,0
"K. W., 91901",0,0,0,0,1,0,0,0,0,0
"T. K., 98225-5848",0,0,0,0,1,0,0,0,0,0
"M. B., 30238",0,0,0,0,1,0,0,0,0,0
"N. B., 55398",0,0,0,0,1,0,0,0,0,0
"G. J., 77379",0,0,0,0,1,0,0,0,0,0
"D. W., 98294",0,0,0,0,1,0,0,0,0,0
"B. K., 48212",0,0,0,0,1,0,0,0,0,0
"J. W., 46032",0,0,0,0,1,0,0,0,0,0
"C. C., 85308",0,0,0,0,1,0,0,0,0,0
"T. L., 28590",0,0,0,0,1,0,0,0,0,0
"R. R., 14513",0,0,0,0,1,0,0,0,0,0
"C. N., 97124",0,0,0,0,1,0,0,0,0,0
"K. L., 99206",0,0,0,0,1,0,0,0,0,0
"J. D., 74006",0,0,0,0,1,0,0,0,0,0
"B. L., 30080",0,0,0,0,1,0,0,0,0,0
"J. K., 53226",0,0,0,0,1,0,0,0,0,0
"S. C., 97016",0,0,0,0,1,0,0,0,0,0
"D. D., 11385",0,0,0,0,1,0,0,0,0,0
"M. D., 55987",0,0,0,0,1,0,0,0,0,0
"J. F., 91763",0,0,0,0,1,0,0,0,0,0
"D. S., 95946",0,0,0,0,1,0,0,0,0,0
"V. P., 60608",0,0,0,0,1,0,0,0,0,0
"K. C., 48219",0,0,0,0,1,0,0,0,0,0
"J. M., 19440",0,0,0,0,1,0,0,0,0,0
"J. S., 91001",0,0,0,0,1,0,0,0,0,0
"E. C., 02135",0,0,0,0,1,0,0,0,0,1
"R. W., 32605",0,0,0,0,1,0,0,0,0,0
"N. B., 97201",0,0,0,0,1,0,0,0,0,0
"M. C., 14228",0,0,0,0,1,0,0,0,0,0
"L. A., 90066",0,0,0,0,1,0,0,0,0,0
"N. F., 08005",0,0,0,0,1,0,0,0,0,0
"J. H., 98125",0,0,0,0,1,0,0,0,0,0
"D. V., 10009",0,0,0,0,1,1,0,0,0,1
"K. N., 86001",0,0,0,0,1,0,0,0,0,0
"O. B., 91206",0,0,0,0,1,0,0,0,0,0
"R. M., 19518",0,0,0,0,1,0,0,0,0,0
"J. P., 50219",0,0,0,0,1,0,0,0,0,0
"B. D., 98277",0,0,0,0,1,0,0,0,0,0
"S. Y., 02118",0,0,0,0,1,0,0,0,0,0
"B. D., 14214",0,0,0,0,1,0,0,0,0,0
"G. E., 60647",0,0,0,0,1,0,0,0,0,0
"J. H., 17350",0,0,0,0,1,0,0,0,0,0
"J. W., 77573",0,0,0,0,1,0,0,0,0,0
"R. M., 95062",0,0,0,0,1,0,0,0,0,0
"L. S., 37218",0,0,0,0,1,0,0,0,0,0
"R. F.,  07921",0,0,0,0,1,0,0,0,0,0
"D. S., 30182",0,0,0,0,1,0,0,0,0,0
"D. V., 74740",0,0,0,0,1,0,0,0,0,0
"M. H., 29210",0,0,0,0,1,0,0,0,0,0
"K. U., 21234",0,0,0,0,1,0,0,0,0,0
"G. N., 02067",0,0,0,0,1,0,0,0,0,0
"J. B., 78610",0,0,0,0,1,0,0,0,0,0
"J. T., 10303",0,0,0,0,1,0,0,0,0,0
"S. S., 04103",0,0,0,0,1,0,0,0,0,0
"W. W., 20852",0,0,0,0,1,0,0,0,0,0
"S. L., 45220",0,0,0,0,1,0,0,0,0,0
"H. B., 77084",0,0,0,0,1,0,0,0,0,0
"J. P., 68111",0,0,0,0,1,0,0,0,0,0
"N. H., 65037",0,0,0,0,1,0,0,0,0,1
"E. M., 72847",0,0,0,0,1,0,0,0,0,0
"G. K., 28901",0,0,0,0,1,0,0,0,0,0
"J. E., 40330",0,0,0,0,1,0,0,0,0,0
"M. H., 63069",0,0,0,0,1,0,0,0,0,0
"F. T., 87507",0,0,0,0,1,0,0,0,0,0
"J. R., 92506",0,0,0,0,1,0,0,0,0,0
"C. S., 80487",0,0,0,0,1,0,0,0,0,0
"M. F., 55117",0,0,0,0,1,0,0,0,0,0
"J. C., 78411",0,0,0,0,1,0,0,0,0,0
"J. S., 53010",0,0,0,0,1,0,0,0,0,0
"M. M., 64113",0,0,0,0,1,0,0,0,0,0
"M. N., 78717",0,0,0,0,1,0,0,0,0,0
"M. B., 90069",0,0,0,0,1,0,0,0,0,0
"R. S., 22207",0,0,0,0,1,0,0,0,0,0
"S. S., 71111",0,0,0,0,1,0,0,0,0,0
"J. J., 38343",0,0,0,0,1,0,0,0,0,0
"R. D., 94002",0,0,0,0,1,0,0,0,0,0
"C. L., 10003",0,0,0,0,1,0,0,0,0,0
"E. A., 47407",0,0,0,0,1,0,0,0,0,0
"J. B., 99205",0,0,0,0,1,0,0,0,0,0
"J. B., 48451",0,0,0,0,1,0,0,0,0,0
"T. B., 90302",0,0,0,0,1,0,0,0,0,0
"L. C., 46970",0,0,0,0,1,0,0,0,0,0
"E. S., 64109",0,0,0,0,1,0,0,0,0,0
"D. S., 87120",0,0,0,0,1,0,0,0,0,0
"J. D., 07036",0,0,0,0,1,0,0,0,0,0
"D. B., 10031",0,0,0,0,1,0,0,0,0,0
"L. P., 24945",0,0,0,0,1,0,0,0,0,0
"C. M., 96746",0,0,0,0,1,0,0,0,0,0
"S. F., 48227",0,0,0,0,1,0,0,0,0,0
"T. W., 93534",0,0,0,0,1,0,0,0,0,0
"R. L., 93063",0,0,0,0,1,0,0,0,0,0
"A. S., 28601",0,0,0,0,1,0,0,0,1,0
"T. C., 10014",0,0,0,0,1,0,0,0,0,0
"P. M., 33024",0,0,0,0,1,0,0,0,0,0
"J. R., 94533",0,0,0,0,1,0,0,0,0,0
"T. V., 99213",0,0,0,0,1,0,0,0,0,0
"J. S., 63141",0,0,0,0,1,1,0,0,0,1
"J. K., 78753",0,0,0,0,1,0,0,0,0,0
"B. K., 98671",0,0,0,0,1,0,0,0,0,0
"S. C., 67214",0,0,0,0,1,0,0,0,0,0
"I. P., 20019",0,0,0,0,1,0,1,0,0,0
"F. N., 48827",0,0,0,0,1,0,0,0,0,0
"T. G., 27406-9749",0,0,0,0,1,0,0,0,0,0
"A. M., 42303",0,0,0,0,1,0,0,0,0,0
"L. B., 67456",0,0,0,0,1,0,0,0,0,0
"N. M., 48601",0,0,0,0,1,0,0,0,0,0
"B. K., 87112",0,0,0,0,1,0,0,0,0,0
"C. O., 64130",0,0,0,0,1,0,0,0,0,0
"S. M., 92626",0,0,0,0,1,0,0,0,0,0
"M. M., 73114",0,0,0,0,1,0,0,0,0,0
"M. B., 45231",0,0,0,0,1,0,0,0,0,0
"T. V., 75094",0,0,0,0,1,1,0,0,1,1
"A. A., 22182",0,0,0,0,1,0,0,0,0,0
"J. A., 92507",0,0,0,0,1,0,0,0,0,0
"M. O., 27514",0,0,0,0,1,0,0,0,0,0
"A. S., 49504",0,0,0,0,1,0,0,0,0,0
"D. Z., 02138",0,0,0,0,1,0,0,0,0,0
"C. E., 81631",0,0,0,0,1,0,0,0,0,0
"N. B., 20878",0,0,0,0,1,0,0,0,0,0
"S. S., 93527",0,0,0,0,1,1,0,0,0,0
"A. V., 10013-3535",0,0,0,0,1,0,0,0,0,0
"R. R., 93291",0,0,0,0,1,0,0,0,0,1
"G. M., 90638",0,0,0,0,1,0,0,0,0,1
"S. K., 55428",0,0,0,0,1,0,0,0,0,0
"I. R., 63146",0,0,0,0,1,0,0,0,0,0
"J. C., 08830",0,0,0,0,1,0,0,0,0,0
"E. W., 84532",0,0,0,0,1,0,0,0,0,0
"K. L., 10003",0,0,0,0,1,0,0,0,0,0
"C. M., 97420",0,0,0,0,1,0,0,0,0,0
"C. M., 42240",0,0,0,0,1,0,0,0,0,0
"T. G., 48350",0,0,0,0,1,0,0,0,0,0
"C. B., 22903",0,0,0,0,1,0,0,0,0,0
"M. T., 92627",0,0,0,0,1,0,0,0,0,0
"S. R., 70808",0,0,0,0,1,0,0,0,0,0
"K. P., 48505",0,0,0,0,1,0,0,0,0,0
"K. L., 27712",0,0,0,0,1,0,0,0,0,0
"J. K., 01581",0,0,0,0,1,0,0,0,0,0
"T. A., 28675",0,0,0,0,1,0,0,0,0,0
"A. B., 17025",0,0,0,0,1,0,0,0,0,0
"T. R., 48739",0,0,0,0,1,0,0,0,0,0
"S. F., 83835",0,0,0,0,1,0,0,0,0,0
"A. D., 24435",0,0,0,0,1,0,0,0,0,0
"L. C., 70611",0,0,0,0,1,0,0,0,0,0
"T. W., 95616",0,0,0,0,1,0,0,0,0,0
"L. J., 95603",0,0,0,0,1,0,0,0,0,0
"N. R., 20003",0,0,0,0,1,0,0,0,0,0
"N. A., 78727",0,0,0,0,1,0,0,0,0,0
"D. M., 70001",0,0,0,0,1,0,0,0,0,0
"J. E., 94903",0,0,0,0,1,0,0,0,0,0
"R. B., 83712",0,0,0,0,1,0,0,0,0,0
"J. K., 53144",0,0,0,0,1,1,0,0,0,1
"P. O., 04236",0,0,0,0,1,0,0,0,0,0
"P. P., 04062",0,0,0,0,1,0,0,0,0,0
"J. L., 98125",0,0,0,0,1,0,0,0,0,0
"J. S., 64720",0,0,0,0,1,0,0,0,0,0
"A. H., 46032",0,0,0,0,1,0,0,0,0,0
"R. A., 20011",0,0,0,0,1,0,0,0,0,0
"A. L., 77055",0,0,0,0,1,0,0,0,0,0
"G. P., 92345",0,0,0,0,1,0,0,0,0,0
"M. W., 39648",0,0,0,0,1,0,0,0,0,0
"K. T., 89119",0,0,0,0,1,0,0,0,0,0
"J. G., 75043",0,0,0,0,1,0,0,0,0,0
"M. H., 94558",0,0,0,0,1,0,0,0,0,0
"L. F., 24426",0,0,0,0,1,0,0,0,0,0
"C. R., 02021",0,0,0,0,1,0,0,0,0,0
"D. G., 23462",0,0,0,0,1,0,0,0,0,0
"I. S., 40207",0,0,0,0,1,0,0,0,0,0
"B. L., 98249",0,0,0,0,1,0,0,0,0,0
"J. O., 87505",0,0,0,0,1,0,0,0,0,0
"D. R., 92335",0,0,0,0,1,0,0,0,0,0
"K. C., 94019",0,0,0,0,1,0,0,0,0,0
"R. H., 60622",0,0,0,0,1,0,0,0,0,0
"A. D., 87507",0,0,0,0,1,0,0,0,0,0
"R. H., 96789",0,0,0,0,1,0,0,0,0,0
"J. S., 22902",0,0,0,0,1,0,0,0,0,0
"L. S., 93305",0,0,0,0,1,0,0,0,0,0
"R. D., 94044",0,0,0,0,1,0,0,0,0,0
"K. W., 97003",0,0,0,0,1,0,0,0,0,0
"J. S., 01082",0,0,0,0,1,0,0,0,0,0
"S. D., 92069",0,0,0,0,1,0,0,0,0,0
"C. M., 33710",0,0,0,0,1,0,0,0,0,0
"C. D., 78736",0,0,0,0,1,0,0,0,0,0
"E. T., 64131",0,0,0,0,1,0,0,0,0,0
"M. B., 30076",0,0,0,0,1,0,0,0,0,0
"G. J., 93001",0,0,0,0,1,0,0,0,0,0
"J. P., 15601",0,0,0,0,1,0,0,0,0,0
"C. D., 19040",0,0,0,0,1,0,0,0,0,0
"M. M., 79934",0,0,0,0,1,0,0,0,0,0
"M. C., 46530",0,0,0,0,1,0,0,0,0,0
"N. T., 13787",0,0,0,0,1,0,0,0,0,0
"L. B., 75229",0,0,0,0,1,0,0,0,0,0
"K. B., 83814",0,0,0,0,1,0,0,0,0,0
"C. L., 49065",0,0,0,0,1,0,0,0,0,0
"M. M., 78729",0,0,0,0,1,0,0,0,0,0
"I. L., 28801",0,0,0,0,1,0,0,0,0,0
"M. G., 94947",0,0,0,0,1,0,0,0,0,0
"J. P., 34233",0,0,0,0,1,0,0,0,0,0
"J. M., 80305",0,0,0,0,1,0,0,0,0,0
"K. S., 20906",0,0,0,0,1,1,0,0,0,1
"J. D., 94080",0,0,0,0,1,0,0,0,0,0
"J. S., 65806",0,0,0,0,1,0,0,0,0,0
"A. D., 02143",0,0,0,0,1,0,0,0,0,0
"J. M., 98155",0,0,0,0,1,0,0,0,0,0
"J. M., 10475-3156",0,0,0,0,1,0,0,0,0,0
"K. N., 91201",0,0,0,0,1,0,0,0,0,0
"M. S., 19073",0,0,0,0,1,0,0,0,0,0
"M. P., 78557",0,0,0,0,1,0,0,0,0,0
"K. K., 34953",0,0,0,0,1,0,0,0,0,0
"B. N., 21740",0,0,0,0,1,0,0,0,0,0
"A. H., 76053",0,0,0,0,1,0,0,0,0,0
"M. M., 98260",0,0,0,0,1,0,0,0,0,0
"F. A., 19333",0,0,0,0,1,0,0,0,0,0
"D. B., 55117",0,0,0,0,1,0,0,0,0,0
"W. J., 24073",0,0,0,0,1,0,0,0,0,0
"D. V., 91710",0,0,0,0,1,0,0,0,0,0
"T. R., 94070",0,0,0,0,1,0,0,0,0,0
"J. G., 02910",0,0,0,0,1,0,0,0,0,0
"T. H., 02139",0,0,0,0,1,0,0,0,0,0
"E. L., 13057",0,0,0,0,1,0,0,0,0,0
"B. W., 97701",0,0,0,0,1,1,0,0,0,0
"A. B., 32446",0,0,0,0,1,0,0,0,0,0
"S. H., 85209",0,0,0,0,1,0,0,0,0,0
"M. C., 19064",0,0,0,0,1,0,0,0,0,0
"I. C., 48197",0,0,0,0,1,0,0,0,0,0
"S. F., 60636",0,0,0,0,1,0,0,0,0,0
"C. H., 63114",0,0,0,0,1,0,0,0,0,0
"M. M., 02895",0,0,0,0,1,0,0,0,0,0
"D. B., 94555",0,0,0,0,1,0,0,0,0,0
"T. R., 91204",0,0,0,0,1,0,0,0,0,0
"R. S., 49505",0,0,0,0,1,0,0,0,0,0
"R. A., 64111",0,0,0,0,1,0,0,0,0,0
"A. O., 87123",0,0,0,0,1,0,0,0,0,0
"D. C., 33614",0,0,0,0,1,0,0,0,0,0
"C. F., 11237",0,0,0,0,1,0,0,0,0,0
"S. B., 95926",0,0,0,0,1,0,0,0,0,0
"C. W., 11231",0,0,0,0,1,0,0,0,0,0
"A. V., 92707",0,0,0,0,1,0,0,0,0,0
"Y. G., 01504",0,0,0,0,1,0,0,0,0,0
"K. H., 70119",0,0,0,0,1,0,0,0,0,0
"P. C., 20037",0,0,0,0,1,0,0,0,0,0
"T. M., 06477",0,0,0,0,1,0,0,0,0,0
"L. Q., 91103",0,0,0,0,1,0,0,0,0,0
"R. G., 38305",0,0,0,0,1,0,0,0,0,0
"B. B., 53555",0,0,0,0,1,0,0,0,0,0
"P. R., 07821",0,0,0,0,1,0,0,0,0,0
"J. W., 05764",0,0,0,0,1,0,0,0,0,0
"M. D., 34608",0,0,0,0,1,0,0,0,1,0
"R. T., 12409",0,0,0,0,1,0,0,0,0,0
"M. E., 99362",0,0,0,0,1,0,0,0,0,0
"J. M., 85283",0,0,0,0,1,0,0,0,0,0
"L. B., 74066",0,0,0,0,1,0,0,0,0,0
"A. N., 95965",0,0,0,0,1,0,0,0,0,0
"M. G., 19073",0,0,0,0,1,0,0,0,0,0
"J. B., 65203-8167",0,0,0,0,1,0,0,0,0,0
"W. P., 34205",0,0,0,0,1,0,0,0,0,0
"T. G., 23456",0,0,0,0,1,0,0,0,0,0
"E. W., 78757",0,0,0,0,1,0,0,0,0,0
"M. F., 32256",0,0,0,0,1,0,0,0,0,0
"J. F., 02459",0,0,0,0,1,0,0,0,0,0
"G. W., 79903",0,0,0,0,1,0,0,0,0,0
"C. J., 63089",0,0,0,0,1,0,0,0,0,0
"R. W., 93117",0,0,0,0,1,0,0,0,0,0
"C. R., 99201",0,0,0,0,1,0,0,0,0,0
"D. C., 60805",0,0,0,0,1,0,0,0,0,0
"W. P., 72209",0,0,0,0,1,0,0,0,0,0
"R. B., 67357",0,0,0,0,1,0,0,0,0,0
"K. J., 32701",0,0,0,0,1,0,0,0,0,0
"J. M., 12729",0,0,0,0,1,0,0,0,0,0
"S. P., 42223",0,0,0,0,1,0,0,0,0,0
"A. J., 20745",0,0,0,0,1,0,0,0,0,0
"L. S., 23238",0,0,0,0,1,0,0,0,0,0
"A. R., 87107",0,0,0,0,1,0,0,0,0,0
"A. M., K1R6H9",0,0,0,0,1,0,0,0,0,0
"J. S., 95689",0,0,0,0,1,0,0,0,0,0
"N. B., 65556",0,0,0,0,1,0,0,0,0,0
"B. S., PE2 8AW",0,0,0,0,1,0,0,0,0,0
"E. K., 33714",0,0,0,0,1,0,0,0,0,0
"D. V., 48083",0,0,0,0,1,0,0,0,0,0
"B. W., 99835",0,0,0,0,1,0,0,0,0,0
"B. P., 20724",0,0,0,0,1,0,0,0,0,0
"G. L., 02134",0,0,0,0,1,0,0,0,0,0
"T. K., 63028",0,0,0,0,1,0,0,0,0,1
"M. W., 30002",0,0,0,0,1,0,0,0,0,0
"G. M., 92129",0,0,0,0,1,0,0,0,0,0
"M. K., 96743",0,0,0,0,1,0,0,0,0,0
"R. R., 43605",0,0,0,0,1,0,0,0,0,0
"C. G., 97205",0,0,0,0,1,0,0,0,0,0
"C. M., 96097",0,0,0,0,1,0,0,0,0,0
"S. V., 77584",0,0,0,0,1,0,0,0,0,0
"L. S., 94612",0,0,0,0,1,0,0,0,0,0
"K. S., 21217",0,0,0,0,1,0,0,0,0,0
"M. R., 49660",0,0,0,0,1,0,0,0,0,0
"D. S., 93110",0,0,0,0,1,0,0,0,0,0
"B. S., 80227",0,0,0,0,1,0,0,0,0,0
"D. C., 24018",0,0,0,0,1,0,0,0,0,0
"E. S., 40023",0,0,0,0,1,0,0,0,0,0
"D. P., 08005",0,0,0,0,1,0,0,0,0,0
"M. S., 28117",0,0,0,0,1,0,0,0,0,0
"P. E., 33612",0,0,0,0,1,0,0,0,0,0
"A. S., 47918",0,0,0,0,1,0,0,0,0,0
"C. K., 91214",0,0,0,0,1,0,0,0,0,0
"M. C., 37381",0,0,0,0,1,1,0,0,0,0
"E. N., 29707",0,0,0,0,1,0,0,0,0,0
"J. B., 01862",0,0,0,0,1,0,0,0,0,0
"M. D., 23220",0,0,0,0,1,0,0,0,0,0
"H. T., 98146",0,0,0,0,1,0,0,0,0,0
"C. K., 92083",0,0,0,0,1,0,0,0,0,0
"D. C., 98408",0,0,0,0,1,0,0,0,0,0
"C. N., 80214",0,0,0,0,1,0,0,0,0,0
"J. R., 95446",0,0,0,0,1,0,0,0,0,0
"D. J., 98002",0,0,0,0,1,0,0,0,0,0
"J. F., 26571",0,0,0,0,1,0,0,0,0,0
"M. S., 99004",0,0,0,0,1,0,0,0,0,0
"S. W., 28658",0,0,0,0,1,0,0,0,0,0
